episode,distance,duration_ticks,crashed,epsilon
736,2710.00,271,True,0.7496
737,2430.00,243,True,0.7495
738,5130.00,513,True,0.7492
739,3880.00,388,True,0.7491
740,7330.00,733,True,0.7487
741,1680.00,168,True,0.7486
742,2280.00,228,True,0.7485
743,5870.00,587,True,0.7483
744,3210.00,321,True,0.7481
745,3490.00,349,True,0.7479
746,2150.00,215,True,0.7478
747,3520.00,352,True,0.7477
748,2050.00,205,True,0.7476
749,3810.00,381,True,0.7474
750,2960.00,296,True,0.7473
751,4690.00,469,True,0.7471
752,8670.00,867,True,0.7467
753,2480.00,248,True,0.7465
754,5090.00,509,True,0.7463
755,3430.00,343,True,0.7461
756,2960.00,296,True,0.7460
757,2600.00,260,True,0.7459
758,3380.00,338,True,0.7457
759,5550.00,555,True,0.7455
760,4680.00,468,True,0.7453
761,12760.00,1276,True,0.7447
762,1960.00,196,True,0.7446
763,2500.00,250,True,0.7445
764,4250.00,425,True,0.7443
765,4440.00,444,True,0.7441
766,2280.00,228,True,0.7439
767,7860.00,786,True,0.7436
768,4240.00,424,True,0.7434
769,2290.00,229,True,0.7433
770,4160.00,416,True,0.7431
771,3930.00,393,True,0.7429
772,4210.00,421,True,0.7427
773,3120.00,312,True,0.7426
774,3450.00,345,True,0.7424
775,3690.00,369,True,0.7422
776,4750.00,475,True,0.7420
777,1760.00,176,True,0.7419
778,1700.00,170,True,0.7419
779,2310.00,231,True,0.7418
780,3750.00,375,True,0.7416
781,3250.00,325,True,0.7414
782,2110.00,211,True,0.7413
783,3910.00,391,True,0.7412
784,5410.00,541,True,0.7409
785,7100.00,710,True,0.7406
786,1890.00,189,True,0.7405
787,2430.00,243,True,0.7404
788,2900.00,290,True,0.7402
789,3230.00,323,True,0.7401
790,3810.00,381,True,0.7399
791,2680.00,268,True,0.7398
792,3750.00,375,True,0.7396
793,2630.00,263,True,0.7395
794,2640.00,264,True,0.7394
795,6590.00,659,True,0.7391
796,1560.00,156,True,0.7390
797,5920.00,592,True,0.7387
798,3400.00,340,True,0.7386
799,4460.00,446,True,0.7384
800,3340.00,334,True,0.7382
801,4310.00,431,True,0.7380
802,5610.00,561,True,0.7378
803,3870.00,387,True,0.7376
804,5540.00,554,True,0.7373
805,2950.00,295,True,0.7372
806,4820.00,482,True,0.7370
807,4550.00,455,True,0.7368
808,2640.00,264,True,0.7367
809,2610.00,261,True,0.7365
810,11140.00,1114,True,0.7360
811,9810.00,981,True,0.7356
812,3220.00,322,True,0.7354
813,2280.00,228,True,0.7353
814,3510.00,351,True,0.7352
815,5280.00,528,True,0.7349
816,3210.00,321,True,0.7348
817,2980.00,298,True,0.7346
818,3380.00,338,True,0.7345
819,4840.00,484,True,0.7343
820,1550.00,155,True,0.7342
821,6620.00,662,True,0.7339
822,4760.00,476,True,0.7337
823,1960.00,196,True,0.7336
824,1800.00,180,True,0.7335
825,5610.00,561,True,0.7332
826,4840.00,484,True,0.7330
827,3020.00,302,True,0.7329
828,2100.00,210,True,0.7328
829,4410.00,441,True,0.7326
830,3870.00,387,True,0.7324
831,1880.00,188,True,0.7323
832,4830.00,483,True,0.7321
833,3840.00,384,True,0.7319
834,3770.00,377,True,0.7318
835,4220.00,422,True,0.7316
836,2520.00,252,True,0.7315
837,3560.00,356,True,0.7313
838,8020.00,802,True,0.7309
839,7430.00,743,True,0.7306
840,6580.00,658,True,0.7303
841,8490.00,849,True,0.7299
842,4170.00,417,True,0.7297
843,5630.00,563,True,0.7295
844,1860.00,186,True,0.7294
845,4330.00,433,True,0.7292
846,3070.00,307,True,0.7291
847,4050.00,405,True,0.7289
848,2530.00,253,True,0.7288
849,1740.00,174,True,0.7287
850,5060.00,506,True,0.7284
851,3490.00,349,True,0.7283
852,4390.00,439,True,0.7281
853,6240.00,624,True,0.7278
854,3250.00,325,True,0.7277
855,6700.00,670,True,0.7274
856,3050.00,305,True,0.7272
857,4280.00,428,True,0.7270
858,4140.00,414,True,0.7268
859,7250.00,725,True,0.7265
860,2460.00,246,True,0.7264
861,3330.00,333,True,0.7263
862,5620.00,562,True,0.7260
863,3310.00,331,True,0.7258
864,3880.00,388,True,0.7257
